Indx,Doctor,Review,Classification
1110,2062625,"To begin, I am Dr. Barandes’s youngest son (age 19). I was not surprised at all to see even the worst negative comments regarding his mannerisms, for I have lived through all of the most uncomfortable and socially inappropriate things he does. He does comment about women’s appearance, he does dress unusually; he does castigate defiance. I’m not here to say that this does not exist. However, all of that has nothing to do with a patient’s medical care. A patient goes to see a doctor for medical treatment; respectful treatment is subject to the individual’s beliefs and cannot satisfy all. Dr. Barandes may come across as an insensitive old man to some, but what I can say from experience is that he acts the way he does because he believes it’s polite. We may not all agree with his manors, but if a patient does have an issue with how he acts, just politely tell him it makes you uncomfortable. Dr. Barandes is a knowledgeable and experienced endocrinologist, and that's why you’re there.",NEU
1111,2062625,"Dr. Barandes is a great man and doctor.  I have been going to him for SIX years.  He saved me from a very serious thyroid condition that my previous doctor misdiagnosed.  He is very kind and very knowledgeable.  I would recommend him to anyone, and have.  He is extremely kind hearted.  I have never felt rushed out of the office and every time I come in he knows who I am.  I can't say that about most Doctors.  The office is older but very clean and the staff is wonderful. I always feel that I am in great hands when it comes to my health.  I saw that some people complained about being overbooked. Maybe because he is one of the number one rated Endocrinologists in the city.  I have never felt my wait time was excessive but the office is always packed. Also one last thing to point out, his staff has been with him forever.. I don't think thats an accident.  He is a great man that truly Cares about his patients.",POS
1112,2062625,"I was at his office the other day.  I went at 830 am before and saw many people waiting. When I see lots of people in a doctor's office I think that he's good.  This time I made an appointment at 10 and was seen right away.  He is like a grandpa. He did not rush.  Any questions I asked were answered. He explained my thyroid problem. He did not talk to me like I was stupid. I don't know why people wrote what they did. The place was clean. The staff was nice. Lots of doctor's offices look the same as his. I went to a famous doctor at NYU who has the same type of office. Any doctor who has a dirty office would get in trouble.  If I walk into an office and see nobody waiting I'd leave becuase I would be scared the doctor was so bad taht nobody would want to see him, I would not care how nice he was dressed and if he had beautiful furniture.  Big deal. People wear expensive suits in nice offices on Wall Street but nobody there seems to have a job anymore.",POS
1113,2062625,"I must say I agree with some post in a sense that Dr. Barandes' bedside manner is not everybody's cup of tea. He also does seem overbooked, waiting time is rather long and he truly doesn't spend more than a few minutes with you. I've been his patient for close to 10 years now and, yes, all of that I found to be true. At the same time, when I first came to see him, I was diagnosed with thyroid tumor and had no insurance. Dr. Barandes worked out a comfortable payment plan for me. But what's more, he actually found a surgeon who agreed to operate on me pro bono. I would have never been able to afford surgery and hospital stay otherwise. For that I'm eternally grateful to him, not every doctor would go to such lenghts for you.",NEU
1114,2062625,"Some of you need to learn spellcheck, he's not a ""shovenist.""  I wouldn't let my mom & wife go to him for many years if this was the case.  I am also a patient. I saw several endocrinologists closer to my home & they gave me improper treatments. This man solved my thyroid problems.  We've been going to Dr Barandes for a long time. He's been rated among Best MDs in New York Magazine. Judge a doctor by how he dresses? Go take a look at Einstein, not a fashion plate but pretty good at what he did. I don't decide how good an MD is by his sartorial splendor.  And did it dawn on any of you that his office is always crowded with patients due to his expertise? So he compliments women's appearances at times?  He's old school. I have yet to meet anyone male or female who doesn't enjoy being told how attractve they are. Plenty of other specialists i.e., oncologists and heart surgeons have terrible bedside manner but save lives. This is a nice man who cares about his patients' health.",POS
1115,2062625,"I've never ever ever experienced a doctor this unprofessional.  He wears a button with his family on it but compliments his beautiful female patients to the point that it is really uncomfortable.  He also talks about other ""beautiful"" female patients.  i stopped going to him and now go to Dr. Seltzer who is much more knowledgeable and professional.",NEG
1116,2062625,"AFTER having a routine blood test with my primary doctor, my thryoid levesls show that i had an overactie thyroid....in this case it was cuasing me to have a rapid heart beat.  After visit Dr. Barandes, he offered really no advice and told me I didnt need to go on thyroid medicine just yet...that i have to see him every month (probably just to bill the insurance company).  I told him I didnt like taking heart medication and he told me so dont take it..What doctor did you ever go to that does not take vitals? no blood pressure readings and pulse reading, especially after he's put you on heart medication for rapid heart rate.  After one months followup and one and half hour wait, he touched my neck and said still the same come back in a month..after two emergency room visits with a rapid heartbeat and every symptom of an overactive thyroid possible., i will be sure never to visit him again.  He sees you for 2 minutes and then he's gone with the wind.  no questions asked.",NEG
1117,2062625,"I could not agree more with the below NEGATIVE comments. Dr. Barandes is a nuclear specialist and not an endocrinologist. He yelled at me like a child when I told him my internist told me to stop my thyroid medication b/c my hypothyroidism had become hyperthyroidism. ""I'm the doctor, I'll tell you what medication to take"". Office was dirty, wait time was long and there is no need in NYC to be subject to any of that.",NEG
1118,2062625,"A real salesman He is very charming at first visit.  In fact too charming.  THen all visits after his arrogance comes out.  His exams are 4 min each time.  He took offense because I asked him a question.  Also, be prepared for a very large lab bill.  I am in the process of finding another thyroid specialist.",NEG
1119,2062625,Dr. Barandes is an excellent Dr. I was in serious problem with my thyroid and he saved me from some major future problems. I think he is a fabulous Dr. and wonderful person as well. His staff are great as well.,POS
1120,2000572,"Simply the best.  My surgery was 8 years ago now, lower back discectomy and laminectomy.  Surgery was flawless, care was fantastic, and I am still doing great!!",POS
1121,2000572,"I had a spine fusion surgery in 2009. This was the best decision I have made.  I was lucky to be living in New York. Great doctor, great hands. 
Thank you Dr. McCance.

Tarek Renno",POS
1122,2000572,"From consultation to sucessful surgery, I couldn't ask for a more competent  professional. Thank You Dr. McCance",POS
1123,2000572,"I could not have chosen a better Doctor!  His surgical hands worked magic on my spine. I am ever so grateful to him, his P.A. Diana and all the kind hearted and skilled staff who took such
 great care of me.  They are an amazing team and you need not worry.  You will be in, ""Great hands!""  
Diane Schwartz.",POS
1124,2000572,"Dr. McCance and staff are the best in their field.  I had back surgery a year ago and can say that I am pain free and have not had any pain since.  There is a little stiffiness sometimes but I do a lot of walking, basic Pilates, the gym I do basic Pilates, bike and treadmill.  I highly recommend Dr. McCance, he is the best!",POS
1125,2000572,"I assumed asked in his credentials that he was competent to deal with my complex spinal history. He wasn't, only concern was getting patients into the OR and having procedures to bill for, outcome apparently was of little or no concern.",NEG
1126,2000572,"Is he better than this guy?",NEU
1127,2000572,"Dr. McCance is an awesome doctor. He is caring, knowledgeable, thorough, and has fantastic PAs and great staff all around.  They are all very responsive and eager to assist you with anything. I have been a patient with Dr.  McCance since 2001 .There is no one better. I highly recommend him.   Robert Stelzl",POS
1128,2000572,"I was fortunate to have Dr. McCance perform  2 back surgeries, in the last 10 years. He and his entire staff, are my heroes. Top-Notch professionals. Thank-You.....",POS
1129,2000572,"I am very fortunate to have had my extremely complicated surgery  performed by Dr. McCance a year ago this June.  He did an excellent job!  I am pain free and can now walk at least  10 to 12 blocks....something I could not do for years.  I highly recommend Dr. McCance to anyone who,is considering spinal surgery.",POS
1130,2061517,"i had a great experience with Dr. lustig throughout my entire (first) pregnancy. there were some tests that i wouldve preferred not to be done that i will not do next time - i dont remember her giving me the option. Anyway she was extremely professional, polite, and fun all at the same time during my labor. i believe i would have torn tremendously during the delivery if it wasnt for her.  i am very satisfied with the way she works, and the way she always comforts me with her jolliness if theres ever something wrong or uncomfortable. I definitely recommend her, and think she is a great OBGYN.",POS
1131,2061517,I look forward to my office visits with Dr. Lustig. She is very nice and very cheerful. When she listens to the baby's heart beat there's always this big smile on her face - she still enjoys her profession after so many years which is amazing.,POS
1132,2061517,"Dr. Lustig is the best OB there is. She doesnt have nurses doing things like weight/blood pressure, rather she does everything. Then, she sits with you in her office and spends time with the patient. I have had both easy and complicated pregnancies, as well as a vaginal birth and a c-section...she was fantastic for both. She helped me push out my 9.4 lb baby! I was in the hospital for a few weeks before my c-section and she had wonderful bedside manner, so I don't know what people are complaining about. She is truly an amazing OB and highly recommend her!",POS
1133,2061517,"I had been with Dr. lustig for a while and was fairly content- I had no issues. The I called with a problem/question in the evening and she was so horrible. could not care less about what i was saying and told me if i had a problem go to the ER, ""what did i want her to do?""",NEU
1134,2061517,"When I first saw good initial ratings for this doctor, I was quite surprised.  Dr. Lustig's bedside manner was terrible, which didn't help my pregnancy at all.  I developed some complications, blood pressure and breech position, and she was absolutely awful with me - not helpful at all.",NEG
1135,2061517,"At 36 years old I had an easy pregnancy but difficult delivery. She was fantastic. Most frustrating for me was the office's inability to notify patients in time that she would not be able to keep her appointments, but that is minor compared to her knowledge and experience. Her bedside manner is good as well. She's easy to like. Very happy with her.",POS
1136,2061517,"she doesn't always get back to you in a timely manner, and she is still THE BEST there is.",NEU
1137,2061517,Dr. Lustig was recomended to me by a friend who had a healthy pragnancy and everything went fine. I had a more complicated pregnancy and miscarriage and dr. Lustig really messed up on me!! She is a terrible doctor!,NEG
1138,2061517,i had 8 pregnancies with dr lustig and she was there for me at all times as if i was her only patient,POS
1139,2061517,"Dr. Lustig is the most wonderful doctor I know. I feel completely confident in her care. She is experienced, nice and has great personality. She delivered my 4 children, and I had a wonderful experience each time!",POS
1140,1979178,Most of the staff are friendly but there is one very rude female at the desk who could not be more unpleasant. I visited numerous times and every time she gave me a ton of attitude for no reason.,NEG
1141,1979178,I love this practice it's very efficient.  My time is just as important as theirs.  Dr. Anna Aronzon is excellent she and Dr. Hale Yar got to the bottom of my chronic bronchitis problems and I am so happy to have found both of these fine doctors.  I would recommend them to anyone.,POS
1142,1979178,"This physician was recommended to me.  She was extremeley knowledegeable and assisted me with my diagnosis, after other physicians could not diagnose me.  I have been to her a few times and have found her to be consistently patient, informed and accurate.  She is highly recommended.",POS
1143,1979178,Please do not use this doctor. I would not want anyone to go through what I am going through right now. I believe all these reviews are from her office and not real. She writes you prescriptions before she has results and guesses on what you have and what meds you need. She told me I had acid reflux when I had no signs of that at all. I took medicine I did not need and then she wanted to give me new medicine. All  you will do is throw out your $. She thinks ppl are guinea pigs. I am very sick right now from taking 2 medicines that did nothing for the sickness I went to her for. On top of that I have a new problem which another dr believes she caused.,NEG
1144,1979178,"She's smart, easygoing, down to earth, and very much n command of what she does. Very comfortable to be around.",POS
1145,1979178,Dr. Aronzon was great! She was extremely helpful and really took the time to properly explain what was going on.  I walked out of the office with all of my problems solved!,POS
1146,1979178,Dr. Aronzon is knowledgable and personable and her office staff is excellent.,POS
1147,1979178,real nice and helpful and explains everything in an easy understandable way,POS
1148,1979178,Dr. Aronzon is very patient and really takes the time to listen. She has a very reassuring bedside manner.,POS
1149,1979178,I had a sudden and serious infection; Dr. Aronzon quickly recognized the danger and her skill and thoroughness headed off a life-threatening illness and avoided major surgery.  Highly recommended.,POS
1150,909793,"Excellent treatment. Warm, caring personality. Staff is very friendly, helpful and accommodating. Would definitely recommend her services to anyone in need of acupuncture.",POS
1151,1859082,"for an OB this is a HUGEEEE factor for me. i tend to ask more questions than the average person and dr worrell LOVES to answer questions. she offers up worlds of information without asking too, which is extremely helpful bc you generally don't know all the questions you even need to ask. she spends as much time with you as you want and you never get the feeling she's waiting to sprint out the door as soon as possible. i felt like i was her only patient for the day. she's kind, she takes her time, she describes what she's doing, the purpose of things, etc etc. all in all, she's amazing.",POS
1152,1859082,"Dr. Worrell is by far and away the best gyno/obgyn I have ever seen  and when I eventually have children I want her to be my dr. But I do agree with all the previous comments that the STAFF IS HORRIBLE. they have told me that my insurance covers procedures that it does not, and always gives me such a hard time when I call, making me feel as if I am BOTHERING them, when all I am doing is calling my doctor and this is their job.  I absolutely cannot stand dealing with the staff but Dr. Worrell is such a great doctor that I tolerate it. Dr. Worrell is so patient, I never feel rushed and if I call and leave her a message when she is delivering babies she calls me back and gives me thorough answers.",POS
1153,1859082,all she wanted to do is a c section and g home but i did have a vaginal delivery. she also left a gauze inside of me for 2 weeks i could die of toxic shock,NEU
1154,1859082,She is the best Gynocologist I have ever had in my life. She is very thorough when she does you pelic exam. She dosent overbook.Her office is clean. she is very gentle and she does not rush through any procedures.,POS
1155,1859082,"Dr. Worrell is terrific, knowledge, friendly and efficient.  Easily one of the best doctor's I've ever had.  However, the other reviewers are correct in criticizing the office staff (Dr. Worrell works in a practice with several other OB/GYNs).  The staff is inefficient, often gives conflicting answers, and has in the past (on three occasions) put me on hold and then apparently forgot about the call for more than five minutes.  If Dr. Worrell was not such a good doctor, I would avoid this office simply due to the unpleasantness of the staff.",NEU
1156,1859082,The doctors are good but the staff is so bad it's not worth going here.  They will misconfirm your appointments and then won't work you in to see a doctor instead making you reschedule for days on ob patients and months for general gyn.  Besides being unorganized the staff is rude.  When you mention it to the doctors they don't seem to care and they don't do anything about it.  There are better staff and doctor combinations in the city.,NEG
1157,1859082,While I love Dr. Worrell's bedside manner and attitude I loathe her staff.  They were horribly rude when I discovered that my son had a birth defect and refused to make follow up appointments with specialists at hospitals other than Beth Israel.  I ended up scheduling my own 4D ultrasound and amniocentesis because the receptionist refused to call anyone.  And in the 5 years I have been seeing Dr. Worrell I have never waited less than one hour and once as long as 2.5,NEG
1158,1744558,Horrible experience!!!  Shari Lusskin knows very little about how to help people and cares only about collecting her ridiculous bills.  Learn form my mistake and pass on this doctor!,NEG
1159,1668628,I had a great experience at the office. I was just there Tuesday 12/29. The staff is excellent and warm and the dr and her nurse answered all of my questions. I did not wait long. A HUGE difference from my last gyn visit with the previous Dr.,POS
1160,1668628,LOVE THIS DOCTOR! Very pleasant and attentive.  Very nice office staff. Waited a bit to be seen but was worth it. Great office hours. Had 8 pm appointment...did not have to take off from work.,POS
1161,1668628,"Dr. Trakhtenberg was very unfriendly. When I was discussing my low libido because of my anti-depressant medication, she scoffed at me and said that maybe it was the man that was lowering my libido! She also said that I need to get off anti-depressants and learn how to deal with stress! HORRIBLE DOCTOR! DO NOT RECOMMEND!",NEG
1162,1929909,"That is so funny how you make your staff write comments every day twice a day. People don't fall for this shenanigan, look at the dates of all the positive comments, EVERY day TWO comments in a row, you have to be really ignorant not to realize that.  Besides I read on another ratings site a comment from one of your workers saying you make them do that... WHAT A SHAME and to think I was actually planning to put down my deposit. I knew something was awfully fishy about you, glad I did my research because I can not stomach crooks like you! Yuck!",NEU
1163,1929909,"I had breast surgery with Dr. Cenedese and have been very satisfied with my results. I found him to be very professional, caring, patient and up-to-date on the latest info.  I would go back to him for any other cosmetic needs and recomend him to all my friends",POS
1164,1929909,"Dr. Cenedese was very thorough, punctual and gentle.  Very good experience.  I was apprehensive before the procedure and he delivered what he promised.  I had a very good experience.",POS
1165,1929909,"Excellent Doctor- did great work, excellent esthetics, patient, gave me time.Highly recommend him.",POS
1166,1929909,"This doctor is a NOSE GENIUS! One of the best things about Dr. Cenedese is that he will never go overboard with your plastic surgery, especially nasal surgery. That's what I love about the doctor - that he would rather operate on you a second time if needed to achieve perfection, usually free of extra charge, rather than do too much and then there is no going back! Other plastic surgeons will make you look like michael jackson but doctor c won't let that happen. Best of all - he doesn't have to break bones when operating on your nose!",POS
1167,1929909,My entire family and friends have been seeing Doctor Cenedese for years. We had nothing but a Great experience with him. I highly advise that everyone who has concidered a plastic sergery see this doctor.,POS
1168,1929909,"I had an excellent experience when seen by Dr. Cenedese.  He is a respected professional in his field.  His office is clean and pleasant and his staff is coordinated well. I had several procedures done by Dr. Cenedese and each time, he dedicated as much time as necessary to achieve the optimal results.  His practice caters to clients who value quality work.  He has an upbeat attitude, listened to and addressed all my concerns and his bedside manner is unnmatched. Dr. Cenedese receives my highest recommendation.",POS
1169,1929909,I had breast surgery with him and I am very happy with the results of my surgery and the care and attention he gave me. I would recommend him and will go back for other surgeries.,POS
1170,1929909,"great doctor!i've been his patient for several years and i am always satisfied and impressed with his work!i first came to dr cenedese for a free consultation, during which we discussed the price and the surgery expectations (which i found very helpful). the doctor is very professional,diplomatic, and friendly, he always tries to get the latest and best technology and products for his clients; the prices for services are probably the lowest in midtown manhattan. the office is nice, the waiting time doesn't usually exceed 15 min, the staff is friendly.",POS
1171,1929909,"I had a rhinoplasty procedure done with Dr. Cenedese two years ago. I am not happy with the results at all. I have a bone sticking out on my right side of the nose. The nose is very thick and non symmetrical. Also, at the sides of the nose I have bumps all the way. He claims that he can do the work he is charging you for but I think that he has little knowledge and understanding of the work he takes upon himself. In addition, his staff is very unprofessional and low skilled. The nurse and the anesthesiologist are incredibly low skilled.  I do not recommend Dr. Cenedese for a rhinoplasty - low quality work!!!!!!",NEG
1172,2023604,"Dr. Striar is a wonderful therapist.  She knows exactly what she's doing.  I have a slight complaint with the way she uses her time, but otherwise, the lady is very good at her job and I've benefited greatly from seeing her.  She has her days when she's not up to par, but don't we all?  When she's on the ball, though, she's truly a godsend.  I recommend her if you're in need of a good therapist in the city.  She's pricey, but you definitely get what you pay for.  Very caring, knowledgeable, and you'll get results.  A+",POS
1173,2023604,"Dr. Striar is an excellent doctor who has created a comfortable and intimate environment for her patients. She is straight-forward with her advice and works with you to develop strategies for working through your issues and emotional growth. As someone who was searching for short-term, she help me realize what and how I needed to change to grow as a more emotionally aware person. I will definitely seek her help with any future problems that I need help with conquering.",POS
1174,2023604,"Dr. Sharna Striar is a highly experienced, competent doctor, perfect for those who need guidance in their own truth, and who are willing to hear it.  She is a great listener and cares about moving her patients forward and on to a better emotional place.",POS
1175,2023604,"Dr. Striar is the fourth therapist I've had and is by far - BY FAR - the most helpful.  Her office is very comfortable and her manner soothing.  I've come a lon, long way since meeting her and will always be grateful for her counsel.",POS
1176,2023604,"I have been a patient of Dr Striar for a while now and I have found her to be very helpful and insightful.  As a man who has battled  insecurities concerning work and social interactions, Dr Striar helped me understand the roots of the problem and guided me in the development of healthier social skills. In addition, due to her background as a sex therapist, I overcame a certain performance problem -- I now have a girlfriend and we are happy with our sex life.  I can’t thank Dr Striar enough for her guidance.",POS
1177,2023604,"I feel as though Dr. Striar genuinely gave me her best efforts towards the end. However, at times she would give me things to work on and then forget what she had asked me to do...At times I felt as though she was more interested in chatting than in really helping...At times I felt as if she was mixing my issues up with her other patients' issues...I am now seeing an MD psychiatrist who was more insightful in the first visit than Dr. Striar was over a few months.  Perhaps just a mismatch, my issues are also on the complex side.  It wasn't a bad experience, just not as helpful as it could/should have been.  (She did offer a few insights that were very helpful.)",NEU
1178,2023604,"Dr. Striar was my first experienc with therapy and it has really changed my life.  When I started, I was at a very bad place in my life.  After seeing her for several months, I began to see a change for the better.  She listens and gives clear and concise observation.  I am a better person because of her help.",POS
1179,2023604,"I’ve struggled with multiple eating disorders for nearly a decade and have spent most of that time in and out of therapy, with little success. But in the few short months I’ve been seeing Dr. Striar, she’s guided me towards a relationship with food that is more balanced and at peace than it’s been since I was a child. She’s an invaluable source of support and extremely easy to talk to, offering practical, proactive advice. I always leave our sessions feeling recharged and motivated towards recovery. Additionally, she was able to correctly diagnose another underlying psychological problem and referred me to a psychopharmacologist for treatment. I’d wholeheartedly recommend Dr. Striar to anyone seeking therapy.",POS
1180,2023604,"I am a man in my late 20s who was wrestling with some sexual issues for quite some time.  I sought out Dr. Striar somewhat randomly through my insurance website.  I went in with uncertain expectations but in little time I was tremendously impressed by her approach, insights, and action plan.  I found her to be so helpful, engaging and insightful that once the initial subject matter was addressed, I continued seeing her for ongoing general general discussions of other areas of my life.",POS
1181,2023604,"Amazing. She gets right to issues in a friendly and conscientious manner. She provides alternative perspectives, insights and the right tools to help you get through the tough times. No nonsense. Highly professional. In the end, she points you in the direction of inner peace and empowerment. Truly amazing.",POS
1182,1967022,"My son broke his wrist  after a botched attempted to set it we went to  Dr Lenzo he was great, the break was complicated and needed surgery with three pins for it to heal properly.  My son is now doing great and has full use of his wrist.  Dr. Lenzo is not chatty but friendly and efficient.  The office staff was also kind and courteous.   I would highly recommend him.",POS
1183,1967022,"When I walked into the office I saw so many patients waiting in the waiting area. I cant believe he books so many of his patients at the same time. After waiting 30 mins to see him he walks in mumbles some words to me and walks out. His P.A walks in and continues the visit. As I walk by his office to take an xray, I see him in his office with his feet on his desk talking on his cell phone. I waited in the room for him to come back and assess me but after another 20 mins he came in and said He was giving me a shot of cortisone. I tried to ask him questions but he brushed me off. I will never refer ANYONE to him.",NEG
1184,1967022,"dr looked at client for 2 minutes...gave a brace and charged in excess of $1,000",NEU
1185,1967022,"The people that work here are MEAN. Every time I call, I get someone who is so crabby and rude. They hung up on me today when I was just asking a question in order for me to straighten out a situation with my insurance. It is so unprofessional to just HANG UP on someone. Instead of apologizing, the receptionist got in a fight with me. And the woman at billing was so impatient. They wouldn't give me their names and wouldn't give me any info when I asked who it was who hung up cause they didn't want me to complain. They were so rude. I will never go here again. (And by the way, when I went, I waited a very long time for my appointment, it was so late). The woman who made my splint was kind and helpful, at least that was good. I will find a new place. I'm a musician and need a good place to take care of my hand injuries which happen often. Do'nt bother with this place. It has been a headache straightening out my claims too.",NEG
1186,1967022,Staff was very pleasant. Went in with a wrist fracture. Dr. Lenzo was very helpful in explaining to me what is broken and wrong. Staff was excellent in creating a unique and custom fit cast.,POS
1187,1967022,He spent so little time with me that I have no idea if he is any good. Find another doctor.,NEG
1188,1967022,"This doctor is very ignorant and will not have his practice for long!! He treats people like they're beneath him!! It's a shame that he has all those degrees and not an ounce of knowledge, respect, integrity, or compassion!! He is definitely an **** and he treats his workers like slaves!! He is **** and should go in retirement soon before he gets hurt!!! Remember Dr. Lenzo god doesn't like ugly and you are definitely ugly!!! You messed with the wrong patient!!! I will have the last laugh!!!",NEG
1189,1967022,"DR Lenzo is the best hand surgeon in the world. He removed a hematoma from my daughter's hand that 5 other highly specialized well paid doctors misdiagnosed. For the record, I am no fan of doctors and very hard to please. This doctor deserves respect and honor from all! My family highly recommends him.",POS
1190,1967022,"Doctor is terrible, refused to see us or be cooperative with us.  Front office service is god-awful. If you want to get your work done, go someplace else.  If you're rich, then this is the doctor for you as he'll only give the time of day to rich people.",NEG
1191,2086133,"I visited her in late Dec. It was a very surreal experience. She lacks empathy, and comes off as massively egotistical and arrogant. This was very off-putting; she lectured me, spoke over me, cut me off when I spoke and told me I was unhappy with what she had to tell me. She left me in the stirrups with the exam room door wide open at one point. After a long, unpleasant exchange, she didn't want to do the pelvic exam, even though I told her I had not had a a pap smear in five years, then omitted the rectal portion of the exam. She kept telling me how good she was at her job and that the problem lay in the fact that I was unhappy with what she had to tell me. She extolled her straightforwardness, and when I suggested her manner was rude and she did not seem to be listening to me, she said that was not possible. Her explanation of my condition was confusing; she does not seem to be a linear thinker, and this is reflected in her speech.",NEG
1192,2086133,"After reading so many reviews, I decided to make an appointment with Dr. Chen.  I know in my heart of hearts that I will never regret it! I had my appointment with her and she is amazing.  She really took the time to listen to me.  I have felt rushed in the past and she is the first doctor that just stopped and listened.  People have said she's very frank, and maybe she is, but I did not experience that with her.  She is truly caring and professional - just what you would look for in a doctor.  I cannot rave about Dr. Chen enough - I've been to other ob/gyn's in NYC and NONE have compared to her.",POS
1193,2086133,"Dr. Chen is what a doctor should be-very caring, good listener, and frank about health conditions and habits.  She delivered my first born and was very patient.  She also referred me to very good doctors when I had my PE-mind you this was by chance after seeing her in the same hospital. She really reached out to me and help me find the best care.  She is very direct and really gives you a straightforward answer. I wish there are more Dr. Chens out there. She really cares about the well-being of her patients and not just in the realm of her practice.  She  is the best.  She is very good at what she does that's why she is always busy!",POS
1194,2086133,"Doctor Chen is terrific! She really took the time to thoroughly explain things that I had questions about, not only face-to-face, but over the phone and via email. It's obvious that she's focused on her patients and what's best for them.",POS
1195,2086133,"Dr. Chen delivered my first child and was amazing.  I didn't have an OB when i got pregnant and had questions regarding medication I was taking.  She called me to discuss BEFORE I was a patient.  She is a fantastic OB though she is a very intense person, and probably not the best fit for everyone.  I would recommend her unreservedly.",POS
1196,2086133,"Dr Chen is an amazing doctor.  The first time I met her I was a bit put off.  She is very direct, and challenged me to pursue healthier eating while I was pregnant.  I grew to adore her throughout my pregnancy, and she helped me deliver a 10 1/2 lb baby without a c-section.  She goes to the ends of the world for her patients.  She is the hardest working, most dedicated and intelligent doctors I have ever encountered!",POS
1197,2086133,"Dr Chen was recommended by a friend. But my experience was unsatisfactory. I was 45 at the time and she pushed me to start HRT despite my hypertension (a contraindication), regular periods, and total lack of perimenopausal symptoms. Felt like she put the drug company's interests ahead of mine. Did not go back!",NEG
1198,2086133,"Without doing a physical exam, dr. insisted there was no cause to believe that pt. suffered endemetriosis and that pt.'s concern was likely due to psychological issues for which dr. referred pt. to psychiatrist.",NEU
1199,2086133,"I adore Dr. Chen. She is extremely smart, very HUMAN--she's actually interested in her patients' lives--and so dedicated. She was my OB through two pregnancies and births, and I continue to see her although it's now an annoying commute for me. I always ""bounce"" advice from any other MD off of her before pursuing their recommendations...I can't say enough about her.",POS
1200,2086133,Dr. Chen is one of the few Gyn's that give you a lot of time. She never has one foot out the door and always patiently sits and explains things to me. She is smart as a whip and is a very good doc.,POS
1201,2069029,"I had a very good experience, overall. She is confident and seems to really care about me, the patient. She followed up quickly with me, returning my phone call fast, when I had a concern. She obviously cares. Skill wise, she is very good. I would recommend her.",POS
1202,2069029,"I write to follow up on a previous review. (I tried to amend it, but I could not). The doctor called me personally to resolve my outstanding billing issue, which I really appreciated. She was courteous, professional and very helpful. While I do think she needs to work on her punctuality, her call shows me that she is much more interest in patient satisfaction than I originally thought.",POS
1203,2069029,"She may be the most unprofessional doctor I have ever seen. Not only did she make me wait more than a half hour on each visit, but she did so while she had no other patients in her examining room! In fact, on my last visit, I showed up five minutes early, only to have to wait for a half hour for her while she went outside to pick up an iced coffee and some cookies. When she returned, did she see me right away? No! She chatted with her receptionist about some stupid email forward. It was so bad, that I decided to confront her after my visit, but I didn't get the chance to, because she picked up a cell phone call before telling me we were done! Now...she's trying to bill me for a test that my insurance company will pay for if she submits it properly. When I told her billing person this, I got a letter back saying that I must pay because Dr. Cozzarelli refuses to resubmit it. Insane! She may be good at what she does, but she has the interpersonal skills of a gnat. Avoid her!",NEG
1204,2069029,"She is nice, but very unprofessional. She has a tiny office with only one staff member, who (when I was there last summer) was on the phone the whole time arranging things for her wedding! At the time I went, there was no one in the office, but I still had to wait because this doctor was bringing food to another area for some party they were having. I should not have had to wait for that! Also, in her office, she had a plate of food on her desk that she was eating while i was there. I also got a little weary because she didn't have all of the basic exam equipment a regular eye doctor would have. I actually had to get referred to another doctor for the rest of my test. Like I said, she is nice but it is a total waste of time to go there.",NEG
1205,2069029,This is literally the worst doctor I have ever seen. She didn't take my concerns or questions seriously. She seemed unfriendly and distracted. The eye exam she gave me was unthorough. She answered a personal cell phone call during my exam! She did nothing to inspire my confidence. There are much better eye doctors out there...don't visit this one.,NEG
1206,2069029,She is very good but seems very distracted at all times (only 1 staff member and that woman isn't very helpful either). Perhaps it'd be best if she were to join a bigger practice.,NEG
1207,924976,Dr. Sackheim is a good doctor.  She spent over 45 minutes with me.  She did extra testing on my visit to get more information about my diagnosis and was very intelligent.,POS
1208,924976,"Dr. Sackheim took me even 10 minutes prior to my appointment time--I had arrived early.  This was a good start.  She is smart,obviously well-trained, appears immediately to be in full command of not only her specialty, but also, how her areas of expertise conjoin associated specialties, where appropriate for a treatment plan.  She appears immediately to care what happens to her patient.  I like her.  I trust (provisionally) her treatment plan for me.  Time will tell as to whether it works.  I'll get back to y'all on that.",POS
1209,924976,"Do not come here, I learned the hard way and made the costly mistake with DR Kimberly Sackheim, MD, DO at her office on 151 East 62nd St, NY, that Specializes in pain medicine. I'm 38 years old, injured and messed up my back in a accident upstate 4 years ago. Some days i cant walk. I moved to NYC 2 months ago and searched for a new Dr. Over the first phone calls a man said they can continue my pain medicine and treat me. As soon as you walk in they collect $350.00, Distract you under pressure as they hand you one paper and say sign here ( you are signing your rights away that she doesn't have to prescribe medicine) Very tricky. As soon as you sign the ONE forum she will rush you in. Dr didn't prescribe me a single medication and waved the paper in my face when i asked her why. I take Oxycontin 40mg and roxycodone 15mgs, each #90 tablets. She is all about taking your initial $350.00 and sending you out the door. I was disgusted buy her attitude and zero bed side manner. Very poor PM DR",NEG
1210,1935759,"i agree does not care for patients,but does care for how much money he can get for your visit.overbooks patients aswell.",NEG
1211,1935759,Very very cold and uncaring,NEG
